,editable,xref,yref,layer,opacity,line,fillcolor,fillrule,type,x0,y0,x1,y1,text
0,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,772,253,1330,320,"City of Sugar Land
"
1,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,773,334,1176,387,"PO Box 5029
"
2,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,772,411,1641,480,"Sugar Land, TX 77487-5029
"
3,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,1870,215,2116,269,"Contact:
"
4,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,1870,293,2336,360,"(281) 275-2750
"
5,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,1871,373,2363,440,"Monday - Friday
"
6,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,1870,451,2380,508,"8:00AM- 5:00PM
"
7,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,3480,179,3856,240,"Customer
"
8,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,3880,179,4072,256,"Copy
"
9,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,301,624,803,667,"CUSTOMER NAME
"
10,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,1520,622,1949,665,"CUSTOMER NO.
"
11,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,2560,621,2848,663,"PARCEL ID
"
12,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,3580,618,4120,661,"SERVICE LOCATION
"
13,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,301,746,736,790,"FORT BEND ISD
"
14,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,1665,745,1810,788,"19057
"
15,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,3476,740,4121,784,"16431 LEXINGTON BLVD
"
16,True,x,y,above,1,"{'color': 'red', 'width': 1, 'dash': 'solid'}","rgba(0,0,0,0)",evenodd,rect,304,873,695,916,"BILL NUMBER
"
